StreamID,CentroidX,CentroidY,Source,TreatmentName,BiomassUtilized,TreatmentStatus,FundedProjectName,TreatmentCategory,PendingStateReview,FederalGrantProgram,ActualCompletionDate,FederalFundingAmount,FederalGrantFiscalYear,TreatmentAcresReported,TreatmentIdentifierDatabase,LeveragedByIndirectFederalFunding
651265f7-6af9-4cf1-918d-00c212bd9636,-16.52790469,25.62111211,Washington,,Yes,Completed,,Prescribed Burn,2,Cross Boundary,1.55902E+12,209155,2015,295,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
6cf14542-f31d-4556-bcf9-b7aa345f093b,-16.26535653,25.93379676,Washington,,Yes,Completed,,Prescribed Burn,2,USFS SFC,1.67048E+12,9807,2021,21,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
ad45e4ec-c9bf-409d-9556-f6f9c049b69a,-20.76965389,18.79052715,California,2 Hand Crew - Understory Thinning/Brushing,No,Completed,,N/A,0,0,,,,0,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
4aa41204-9e21-4bb3-bec5-8309fccaaf97,-14.14944299,22.77762422,Idaho,,Yes,Completed,,Chemical,2,JCLR,1.70374E+12,5141.745156,2020,3.99203816423212,683b8420-09e9-4315-b874-2eb8aab25889,0
6ec86677-62d5-4280-b5f3-a21e248b825e,-10.92610196,20.6848432,Idaho,,Yes,Completed,,Mechanical,2,HFR,1.56005E+12,1.442010948,2017,0.00301046126938359,683b8420-09e9-4315-b874-2eb8aab25889,0
3c7ab3ed-8c5b-4d1f-b81e-d8e54348e682,-16.10108643,26.45437584,Washington,,No,Completed,,Chemical,2,SFC - Mitigation,1.59496E+12,539,2016,1,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
0bc6c499-d11b-4df3-90d5-6d085b3edce9,-20.92580269,19.95819319,California,Mattole Road Shaded Fuel Break,No,Completed,,N/A,0,0,,,,7,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
08afa4c4-ee6b-4c6d-9ab2-b11a7a7f280b,-14.19834296,24.0228458,Idaho,,No,Completed,,Prescribed Burn,2,WRR,1.64758E+12,14518.6587,2022,50.5876609707191,683b8420-09e9-4315-b874-2eb8aab25889,0
39561331-153b-4ce0-a605-3d445072790f,-19.35983625,19.00619544,California,Buzztail,No,Completed,,N/A,0,0,,,,36,847b3f4a-f7a8-4e87-95ba-42b9871a158a,0
54380c0d-059f-4ad7-ab99-d6dcfd68f0f8,1.106012916,8.438573104,Texas,,Yes,Completed,,Other,2,Cross Boundary,1.58226E+12,237848.9655,2018,328.975055959063,eb7ab6ac-2d66-41f4-bfba-5dbe666c38ce,0
b5ea019f-dc6f-4d29-b03f-bc88cd1dd935,-10.80734515,21.21208562,Idaho,,Yes,Completed,,Other,2,WWUI,1.58744E+12,654.1175574,2017,0.899749047278706,683b8420-09e9-4315-b874-2eb8aab25889,0
868cffa8-36d1-461a-b96f-4510105c4b1d,-15.83812497,26.30971386,Washington,,Yes,Completed,,Other,2,SFC - Mitigation,1.65725E+12,291090,2019,465,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
c865de0f-6fb5-422a-8748-c9fbace879cf,-14.58143737,26.62536812,Washington,,No,Completed,,Other,2,WWUI,1.61077E+12,5726,2020,14,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
3e18a447-9e64-43ea-bde2-9dbcbd7559a7,-14.23837852,26.17751284,Washington,,Yes,Completed,,Planting,2,SFC - Mitigation,1.65976E+12,21312,2021,18,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
5c5c5708-8030-47d7-bb8c-4ab2b1e9ff7f,-14.24363429,25.65492514,Washington,,No,Completed,,Planting,2,SFC - Mitigation,1.67635E+12,4158,2021,11,211b17f0-9bd9-4c64-a69c-83fa332a9be4,0
93fb41c6-2e09-4b81-bec3-3172e02cad18,0.937083646,8.172539572,Texas,,No,Completed,,Other,2,Cross Boundary,,,2017,58.2147574625329,eb7ab6ac-2d66-41f4-bfba-5dbe666c38ce,0
79af3b51-ccdc-47f2-b916-ea825b0c9b04,-10.82400589,21.20275063,Idaho,,No,Completed,,Prescribed Burn,2,HFR,,1521.754634,2022,3.48227605016842,683b8420-09e9-4315-b874-2eb8aab25889,0
